doc,severity,finding,status,note,file,test
08_AaveV3YieldRouterV2.md,medium,"claimLmRewards Claims All Router Rewards Regardless of templateId, Misattributing Cross-Template Rewards",governance risk,Real integration/model risk or interface tradeoff remains; not resolved in this pass.,src/yield/YieldRouterV2.sol,test/yield/YieldRouterV2.t.sol;test/yield/YieldRouterV2Security.t.sol
08_AaveV3YieldRouterV2.md,medium,StataToken Withdrawal May Under-Deliver Due to previewWithdraw Rounding Without Slippage Check,governance risk,Real integration/model risk or interface tradeoff remains; not resolved in this pass.,src/yield/YieldRouterV2.sol,test/yield/YieldRouterV2.t.sol;test/yield/YieldRouterV2Security.t.sol
08_AaveV3YieldRouterV2.md,medium,Unlimited Max Approval to External Contracts Creates Systemic Risk,governance risk,Real integration/model risk or interface tradeoff remains; not resolved in this pass.,src/yield/YieldRouterV2.sol,test/yield/YieldRouterV2.t.sol;test/yield/YieldRouterV2Security.t.sol
08_AaveV3YieldRouterV2.md,medium,scaledPrincipal Can Silently Zero Out on Partial Withdrawal Due to Defensive Underflow Guard,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,YieldRouterV2.sol,
08_AaveV3YieldRouterV2.md,low,rayMul Overflow Risk for Large Values in YieldAccounting Library,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,YieldAccounting.sol,
08_AaveV3YieldRouterV2.md,low,globalScaledBalance Stale Cache Can Mislead Integrators and Cause Accounting Drift,governance risk,Real integration/model risk or interface tradeoff remains; not resolved in this pass.,src/yield/YieldRouterV2.sol,test/yield/YieldRouterV2.t.sol;test/yield/YieldRouterV2Security.t.sol
08_AaveV3YieldRouterV2.md,low,pendingLmRewards Ignores templateId Parameter - Misleading Interface,governance risk,Real integration/model risk or interface tradeoff remains; not resolved in this pass.,src/yield/YieldRouterV2.sol,test/yield/YieldRouterV2.t.sol;test/yield/YieldRouterV2Security.t.sol
08_AaveV3YieldRouterV2.md,low,Missing Zero-Address Validation for rewardsController_ and stataToken_ in Constructor,false positive,Current setters/initializer guard these critical invalid values where they matter.,src/engine/MarketEngineDispatcher.sol;src/engine/modules/MarketEngineAdminModule.sol,test/engine/core/MarketEngineManualTypes.t.sol;test/engine/core/MarketEngineAdminModuleBranches.t.sol
08_AaveV3YieldRouterV2.md,low,Aave Pool withdraw() Return Value Not Validated Against Expected Amount,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,YieldRouterV2.sol,
08_AaveV3YieldRouterV2.md,gas,Gas Optimization: Redundant scaledBalanceOf Calls in StataToken Deposit Path,duplicate,"Gas-only optimization item, not a security remediation blocker.",YieldRouterV2.sol,
08_AaveV3YieldRouterV2.md,gas,Gas Optimization: Double Storage Read of _templates[templateId] in _withdrawScaled,duplicate,"Gas-only optimization item, not a security remediation blocker.",YieldRouterV2.sol,
08_AaveV3YieldRouterV2.md,informational,computeYield Function in YieldAccounting Library is Unused and Untested in Production,duplicate,Informational item; not a remediation blocker for the current codebase.,YieldAccounting.sol,
08_AaveV3YieldRouterV2.md,informational,realToScaled Function in YieldAccounting Library is Unused,duplicate,Informational item; not a remediation blocker for the current codebase.,YieldAccounting.sol,
08_AaveV3YieldRouterV2.md,informational,deposit() Return Value Discarded - IYieldRouter Compat Function Loses Attribution Units,duplicate,Informational item; not a remediation blocker for the current codebase.,YieldRouterV2.sol,
09_EngineAdminModules.md,high,Delegatecall Module Storage Compatibility Check is Insufficient - Only Verifies Selector Not Layout,duplicate,Overlaps with the dispatcher/module trust-boundary findings already captured elsewhere.,MarketEngineState.sol,
09_EngineAdminModules.md,high,Reentrancy in withdrawFees via ERC20 safeTransfer Before State Update,duplicate,Broad or overlapping high finding; the concrete underlying issue is tracked elsewhere in the matrix.,MarketEngineAdminModule.sol,
09_EngineAdminModules.md,high,Centralized Admin Can Redirect Fee Withdrawals to Arbitrary Treasury Address,governance risk,Architectural trust/governance risk remains; not eliminated by code-level remediation.,MarketEngineAdminModule.sol,
09_EngineAdminModules.md,medium,Unchecked Return Value from emergencyWithdraw Allows Silent Fund Loss,false positive,Current engine accounting uses balance-delta or explicit failure handling rather than blindly trusting router return values where it matters.,src/engine/MarketEngineState.sol;src/engine/modules/MarketEngineCoreLifecycleModule.sol,test/engine/core/MarketEngineYieldRouting.t.sol
09_EngineAdminModules.md,medium,Vault Fees Balance Can Underflow Silently if Ledger and Vault Diverge in withdrawFees,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineAdminModule.sol,
09_EngineAdminModules.md,medium,Missing Validation That priceOracle is Non-Zero in _resolveOracleByClass for CHAINLINK_PRICE,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineState.sol,
09_EngineAdminModules.md,medium,Oracle Staleness Window Allows Pre-Lock Price Data for Settlement,governance risk,Operational/oracle-management concern rather than a confirmed live exploit in this repo.,MarketTypes.sol,
09_EngineAdminModules.md,low,Division Before Multiplication Precision Loss in computeTotalUserEntitlementResolved,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketMath.sol,
09_EngineAdminModules.md,low,computeLadderLiabilityComponents Returns Incorrect claimLiabilityTotal When winnerWeightBps >= BPS_DENOMINATOR,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketMath.sol,
09_EngineAdminModules.md,low,keeperClaimLmRewards Returns Early Without Revert When lmRewardsEnabled is False,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineAdminModule.sol,
09_EngineAdminModules.md,low,setYieldRouter Allows Setting Non-Zero feeBps When Router is Zero Address,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineAdminModule.sol,
09_EngineAdminModules.md,low,"validateCheckpointBPublishTime Only Checks Monotonicity Against checkpointA, Not checkpointA_B",governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketTypes.sol,
09_EngineAdminModules.md,gas,Gas Optimization: _setRemainingWinningStake Iterates Over All Outcomes Including Non-Winners,duplicate,"Gas-only optimization item, not a security remediation blocker.",MarketEngineState.sol,
09_EngineAdminModules.md,gas,Gas Optimization: Redundant Storage Reads in computeClaimPayoutStorage,duplicate,"Gas-only optimization item, not a security remediation blocker.",MarketMath.sol,
09_EngineAdminModules.md,gas,Informational: Large Epoch Struct May Cause High Gas Costs for Storage Operations,duplicate,"Gas-only optimization item, not a security remediation blocker.",MarketTypes.sol,
09_EngineAdminModules.md,informational,Informational: initializeMarket Does Not Validate Template is Active Before Initialization,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineAdminModule.sol,
09_EngineAdminModules.md,informational,Informational: _balanceDeltaAfterWithdrawScaled Vulnerable to Read-Only Reentrancy if stakeToken Has Callbacks,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineState.sol,
10_EngineCoreLifecycleModules.md,high,Epoch Cancellation Blocked by Yield Router Failure - Permanent Fund Lock,already fixed,Cancel/resolve paths use soft-failure handling with events rather than bricking lifecycle progress.,src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol,test/engine/security/MarketEngineLifecycleSecurity.t.sol;test/engine/core/MarketEngineYieldRouting.t.sol
10_EngineCoreLifecycleModules.md,high,Oracle Cursor Monotonicity Not Reset on Oracle Adapter Change - Stale Data Bypass,fixed,Same underlying cursor-reset issue; now covered by explicit admin reset flow.,src/engine/modules/MarketEngineAdminModule.sol,test/engine/core/MarketEngineCoreMarketUpgrade.t.sol:test_admin_can_reset_oracle_cursor_after_adapter_swap
10_EngineCoreLifecycleModules.md,high,Yield Router Withdrawal Failure Silently Skips Principal Recovery - Incorrect Settlement,duplicate,Broad or overlapping high finding; the concrete underlying issue is tracked elsewhere in the matrix.,MarketEngineCoreLifecycleModule.sol,
10_EngineCoreLifecycleModules.md,high,Yield Router Excess Yield on Cancel Bypasses Vault Accounting - Ledger Inconsistency,duplicate,Broad or overlapping high finding; the concrete underlying issue is tracked elsewhere in the matrix.,MarketEngineCoreLifecycleModule.sol,
10_EngineCoreLifecycleModules.md,medium,Composite Market Threshold Zero-Value Ambiguity Enables Incorrect Settlement,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,SettlementLogic.sol,
10_EngineCoreLifecycleModules.md,medium,Oracle Fallback Path Allows Mode Downgrade on First Read - Monotonicity Bypass,duplicate,Oracle cursor/monotonicity concerns overlap with the concrete cursor-reset issue and broader oracle design notes.,src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol,test/engine/core/MarketEngineUXIntegrations.t.sol;test/engine/core/MarketEngineCoreMarketUpgrade.t.sol
10_EngineCoreLifecycleModules.md,medium,ReentrancyGuardTransient Incompatibility with Delegatecall Architecture,false positive,Current module entrypoints use `nonReentrant` and tested reentrancy paths are blocked or safely degraded.,src/engine/modules/MarketEngineUserOpsClaimsModule.sol;src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol,test/engine/security/MarketEngineReentrancy.t.sol
10_EngineCoreLifecycleModules.md,medium,Worker Authority Can Open/Lock/Resolve Epochs When Protocol is Paused,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineCoreLifecycleModule.sol,
10_EngineCoreLifecycleModules.md,medium,Velocity Market Checkpoint B Monotonicity Not Enforced Against Checkpoint A,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketTypes.sol,
10_EngineCoreLifecycleModules.md,medium,Convergence Market Checkpoint B_B Not Validated for Monotonicity Against Checkpoint A_B,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineCoreLifecycleModule.sol,
10_EngineCoreLifecycleModules.md,medium,Composite Market Checkpoint A Not Validated for Monotonicity in resolveCompositeCheckpointB,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineCoreLifecycleModule.sol,
10_EngineCoreLifecycleModules.md,low,Missing Validation: openAt Can Be in the Past - Epoch Immediately Bettable Without Notice,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineCoreLifecycleModule.sol,
10_EngineCoreLifecycleModules.md,low,Precision Loss in Pro-Rata Payout Calculation Can Systematically Underpay Winners,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketMath.sol,
10_EngineCoreLifecycleModules.md,low,Template Update Can Change Market Type of Active Epoch - Settlement Mismatch,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineCoreLifecycleModule.sol,
10_EngineCoreLifecycleModules.md,low,Missing Validation: maxOutcomes Can Be Set to 0 - Blocking All Template Creation,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineState.sol,
10_EngineCoreLifecycleModules.md,gas,Duplicate routedPrincipal Check in cancelEpoch - Dead Code,duplicate,"Gas-only optimization item, not a security remediation blocker.",MarketEngineCoreLifecycleModule.sol,
10_EngineCoreLifecycleModules.md,gas,Yield Fee Calculation Uses Integer Division That Can Systematically Under-Collect Fees,duplicate,"Gas-only optimization item, not a security remediation blocker.",MarketEngineCoreLifecycleModule.sol,
10_EngineCoreLifecycleModules.md,informational,Corridor Market Validation Loop Off-By-One - Insufficient Bound Checking,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineCoreLifecycleModule.sol,
10_EngineCoreLifecycleModules.md,informational,Cascade Market Validation Only Checks Bounds Starting from Index 1 - First Bound Unchecked,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineCoreLifecycleModule.sol,
10_EngineCoreLifecycleModules.md,informational,Epoch ID Overflow Risk in _requireCanOpenNextEpoch,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineCoreLifecycleModule.sol,
11_EngineRollingLifecycleModules.md,high,Single Oracle Sample Used for Both Epoch Resolution and Lock Creates Dual-Epoch Manipulation Vector,governance risk,"This is an economic design coupling in rolling markets, not a localized bug fixed in this pass.",src/engine/modules/MarketEngineRollingLifecycleModule.sol,test/engine/rolling/MarketEngineRollingOracle.t.sol
11_EngineRollingLifecycleModules.md,high,Silent Loss of Principal When Yield Router Returns Less Than Deposited,duplicate,Broad or overlapping high finding; the concrete underlying issue is tracked elsewhere in the matrix.,MarketEngineRollingLifecycleModule.sol,
11_EngineRollingLifecycleModules.md,medium,ReentrancyGuardTransient Incompatibility with Delegatecall Architecture,false positive,Current module entrypoints use `nonReentrant` and tested reentrancy paths are blocked or safely degraded.,src/engine/modules/MarketEngineUserOpsClaimsModule.sol;src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol,test/engine/security/MarketEngineReentrancy.t.sol
11_EngineRollingLifecycleModules.md,medium,"Oracle Cursor Allows Equal publishTime, Enabling Same-Block Oracle Replay",duplicate,Oracle cursor/monotonicity concerns overlap with the concrete cursor-reset issue and broader oracle design notes.,src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol,test/engine/core/MarketEngineUXIntegrations.t.sol;test/engine/core/MarketEngineCoreMarketUpgrade.t.sol
11_EngineRollingLifecycleModules.md,medium,cancelRollingEpochWhileHalted Does Not Verify Epoch Belongs to the Halted Template,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineRollingLifecycleModule.sol,
11_EngineRollingLifecycleModules.md,medium,computeClaimPayoutStorage Division by Zero When winningPool is Zero After Winning Stake Check,false positive,Current settlement/claim paths did not reproduce the claimed stuck-funds scenario in tests; broad claim is overstated.,src/logic/SettlementLogic.sol;src/math/MarketMath.sol,test/markettype/MarketTypeAll15.t.sol;test/math/MarketMath.t.sol
11_EngineRollingLifecycleModules.md,medium,Ladder Market Settlement Uses First Winning Outcome Index But Multiple Outcomes Can Win,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,SettlementLogic.sol,
11_EngineRollingLifecycleModules.md,medium,Vault Active Balance Can Underflow in cancelRollingEpochWhileHalted When totalPool Exceeds Active,already fixed,Current resolve accounting performs explicit active-vault sufficiency checks before deduction.,src/engine/MarketEngineState.sol,forge test
11_EngineRollingLifecycleModules.md,medium,Corridor and Cascade Market Types Do Not Validate epochHighE8 and epochLowE8 Are Set,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,SettlementLogic.sol,
11_EngineRollingLifecycleModules.md,low,Yield Router Failure Incorrectly Uses OracleFailure Halt Reason,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineRollingLifecycleModule.sol,
11_EngineRollingLifecycleModules.md,low,SettlementLogic.compute Modifies Storage Epoch State (winningOutcomeMask) Before Computing Liabilities,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,SettlementLogic.sol,
11_EngineRollingLifecycleModules.md,low,genesisStartRolling Missing nonReentrant Guard While Other Lifecycle Functions Have It,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineRollingLifecycleModule.sol,
11_EngineRollingLifecycleModules.md,low,Composite Market Settlement Uses Incorrect Threshold When compositeFeedCount is Zero,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,SettlementLogic.sol,
11_EngineRollingLifecycleModules.md,low,Missing Validation That rollingBufferSeconds > 0 in Template Configuration,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineRollingLifecycleModule.sol,
11_EngineRollingLifecycleModules.md,low,Oracle Cursor Not Initialized at Template/Epoch Creation Allows First-Sample Mode Injection,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineRollingLifecycleModule.sol,
11_EngineRollingLifecycleModules.md,low,Threshold Market Ignores absoluteThresholdValueE8 When anchorPriceE8 is Set to Non-Zero,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,SettlementLogic.sol,
11_EngineRollingLifecycleModules.md,gas,Precision Loss in Yield Fee Calculation Due to Integer Division Order,duplicate,"Gas-only optimization item, not a security remediation blocker.",MarketEngineRollingLifecycleModule.sol,
11_EngineRollingLifecycleModules.md,informational,haltRollingMarket Missing nonReentrant Guard,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineRollingLifecycleModule.sol,
11_EngineRollingLifecycleModules.md,informational,resetRollingLifecycle Requires globalPaused But Condition Check is Inverted,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineRollingLifecycleModule.sol,
11_EngineRollingLifecycleModules.md,informational,Epoch Timing Uses block.timestamp for createdAt But startTs Parameter for openAt/lockAt/resolveAt,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineRollingLifecycleModule.sol,
11_EngineRollingLifecycleModules.md,informational,MODULE_STORAGE_COMPATIBILITY_ID Marker Provides False Security Assurance,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineState.sol,
12_EngineUserOpsClaimableModules.md,high,Yield Router Deposit Overcredits routedPrincipal Without Balance Delta Verification,governance risk,Current code still credits `routedPrincipal` based on router attribution success rather than engine-side balance delta.,src/engine/modules/MarketEngineUserOpsClaimsModule.sol,test/engine/core/MarketEngineYieldRouting.t.sol
12_EngineUserOpsClaimableModules.md,high,Delegatecall Module Storage Compatibility Marker is Insufficient Security Guarantee,duplicate,Overlaps with the dispatcher/module trust-boundary findings already captured elsewhere.,MarketEngineState.sol,
12_EngineUserOpsClaimableModules.md,medium,claimMany Batch DoS via Front-Running or Partial Claim State,fixed,`claimMany` now soft-skips already-claimed/non-claimable/zero-payout epochs instead of reverting entire batch.,src/engine/modules/MarketEngineUserOpsClaimsModule.sol,test/engine/core/MarketEngineUserOpsClaimsBranches.t.sol:test_claimMany_skips_epochs_that_become_already_claimed_mid_batch
12_EngineUserOpsClaimableModules.md,medium,ReentrancyGuardTransient Storage Slot Collision with Delegatecall Architecture,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineUserOpsClaimsModule.sol,
12_EngineUserOpsClaimableModules.md,medium,Residual Token Approval Left After Failed Yield Router Deposit,fixed,"Approval is now zeroed after each routed deposit attempt, including failure paths.",src/engine/modules/MarketEngineUserOpsClaimsModule.sol,test/engine/core/MarketEngineYieldRouting.t.sol:test_deposit_failedRouting_clears_router_allowance
12_EngineUserOpsClaimableModules.md,medium,Incorrect Vault Accounting in switchSide: vault.active Decremented Before Fee Withdrawal,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineUserOpsClaimsModule.sol,
12_EngineUserOpsClaimableModules.md,medium,Division by Zero in computeClaimPayoutStorage When winningPool is Zero After Epoch Resolution,false positive,Current settlement/claim paths did not reproduce the claimed stuck-funds scenario in tests; broad claim is overstated.,src/logic/SettlementLogic.sol;src/math/MarketMath.sol,test/markettype/MarketTypeAll15.t.sol;test/math/MarketMath.t.sol
12_EngineUserOpsClaimableModules.md,low,Precision Loss in Yield Buffer Calculation for Small Deposit Amounts,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineUserOpsClaimsModule.sol,
12_EngineUserOpsClaimableModules.md,low,userEpochs Array Can Grow Unboundedly Causing Gas DoS on Reads,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineUserOpsClaimsModule.sol,
12_EngineUserOpsClaimableModules.md,low,Last-Claimer Remainder Rule Can Be Gamed to Steal Excess Funds,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketMath.sol,
12_EngineUserOpsClaimableModules.md,low,Storage Gap Insufficient for Future Upgrades Given Current State Variable Count,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineState.sol,
12_EngineUserOpsClaimableModules.md,low,Epoch activeEpochId Constraint Prevents Multi-Epoch Deposits in Manual Mode,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineUserOpsClaimsModule.sol,
12_EngineUserOpsClaimableModules.md,low,Missing Zero-Address Validation for Oracle Addresses in _resolveOracleByClass,false positive,Current setters/initializer guard these critical invalid values where they matter.,src/engine/MarketEngineDispatcher.sol;src/engine/modules/MarketEngineAdminModule.sol,test/engine/core/MarketEngineManualTypes.t.sol;test/engine/core/MarketEngineAdminModuleBranches.t.sol
12_EngineUserOpsClaimableModules.md,low,Potential Overflow in computeSwitch for Large grossAmount Values,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketMath.sol,
12_EngineUserOpsClaimableModules.md,low,Ladder Market Payout Weight Validation Missing in MarketMath,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketMath.sol,
12_EngineUserOpsClaimableModules.md,gas,Missing Validation That outcomeIndex < e.outcomeCount in switchSide Before Position Access,duplicate,"Gas-only optimization item, not a security remediation blocker.",MarketEngineUserOpsClaimsModule.sol,
12_EngineUserOpsClaimableModules.md,informational,computeClaimPayoutStorage Reads epoch.settlementFeeBps and epoch.feeOnLosingPool from Storage Indirectly via _distributableLosingPoolForClaimsStorage,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketMath.sol,
12_EngineUserOpsClaimableModules.md,informational,Inconsistent configInitialized Check Between switchSide and _depositToSide,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineUserOpsClaimsModule.sol,
12_EngineUserOpsClaimableModules.md,informational,EpochResolved Event Emits Incorrect claimLiabilityTotal in Refund Mode,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineState.sol,
13_EngineViewModule.md,critical,Storage Layout Compatibility Marker is Insufficient - Delegatecall Module Can Corrupt Proxy Storage,governance risk,"Equivalent to admin/module trust boundary; requires governance/model redesign, not localized patch.",MarketEngineState.sol,
13_EngineViewModule.md,critical,Single Admin Key Controls All Critical Protocol Operations Without Timelock,governance risk,Architectural trust/governance risk remains; not eliminated by code-level remediation.,MarketEngineState.sol,
13_EngineViewModule.md,high,Reentrancy Risk in _balanceDeltaAfterWithdrawScaled via Untrusted Yield Router,already fixed,Current external entrypoints invoking router interactions are `nonReentrant`; tested malicious-router paths are blocked or degraded safely.,src/engine/modules/MarketEngineUserOpsClaimsModule.sol;src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol,test/engine/security/MarketEngineReentrancy.t.sol
13_EngineViewModule.md,high,Uninitialized Proxy Vulnerability - configInitialized Can Be Bypassed via Module Storage Collision,already fixed,Implementation initialization is disabled; the remaining module-collision angle is an admin/module trust issue.,src/engine/MarketEngineDispatcher.sol,test/engine/core/MarketEngineManualTypes.t.sol:test_initialize_reverts_on_zero_addresses
13_EngineViewModule.md,high,Vault Balance Invariant Can Be Violated by Rebasing/Fee-on-Transfer Stake Tokens,governance risk,Real integration/model risk or interface tradeoff remains; not resolved in this pass.,src/yield/YieldRouterV2.sol,test/yield/YieldRouterV2.t.sol;test/yield/YieldRouterV2Security.t.sol
13_EngineViewModule.md,medium,Oracle Checkpoint A Allows Stale Price Data - publishTime Can Be Far Before lockAt,governance risk,Operational/oracle-management concern rather than a confirmed live exploit in this repo.,MarketTypes.sol,
13_EngineViewModule.md,medium,MIN_MANUAL_DEPOSIT_WINDOW and MIN_MANUAL_LOCK_WINDOW Are Dangerously Small (10 seconds),duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineState.sol,
13_EngineViewModule.md,medium,YieldRouterBalanceInvariant Check Insufficient - Partial Principal Loss Not Detected,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineState.sol,
13_EngineViewModule.md,medium,Epoch Struct is Extremely Large - Potential Gas Limit Issues on L2 and High Storage Costs,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketTypes.sol,
13_EngineViewModule.md,medium,"validateCheckpointBPublishTime Monotonicity Check Only Against checkpointA, Not checkpointA_B",duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketTypes.sol,
13_EngineViewModule.md,medium,MAX_YIELD_ROUTER_FAILURES Counter Can Be Reset by Admin - Potential Abuse Vector,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineState.sol,
13_EngineViewModule.md,low,Missing Zero-Address Validation for Critical Address Parameters,false positive,Current setters/initializer guard these critical invalid values where they matter.,src/engine/MarketEngineDispatcher.sol;src/engine/modules/MarketEngineAdminModule.sol,test/engine/core/MarketEngineManualTypes.t.sol;test/engine/core/MarketEngineAdminModuleBranches.t.sol
13_EngineViewModule.md,low,getEpoch Returns Zero-Value Struct for Non-Existent Epochs Without Indication,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineViewModule.sol,
13_EngineViewModule.md,low,Precision Loss in _mulBps for Small Values - Confidence Limit Calculation Underestimates,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketTypes.sol,
13_EngineViewModule.md,low,getUserEpochs Pagination Returns Incorrect nextCursor When size=0,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineViewModule.sol,
13_EngineViewModule.md,low,templateIdFromSlug Allows Slug Collision - Different Slugs Can Produce Same templateId,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineState.sol,
13_EngineViewModule.md,low,Epoch totalPool Not Validated Against Sum of outcomePools - Accounting Invariant Not Enforced,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketTypes.sol,
13_EngineViewModule.md,low,Missing Event for Admin Transfer - Critical State Change Not Logged,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineState.sol,
13_EngineViewModule.md,gas,Gas Optimization: Redundant Storage Reads in _applyResolveAccounting,duplicate,"Gas-only optimization item, not a security remediation blocker.",MarketEngineState.sol,
13_EngineViewModule.md,gas,Gas Optimization: _setRemainingWinningStake Iterates Full outcomeCount Even for Single-Winner Markets,duplicate,"Gas-only optimization item, not a security remediation blocker.",MarketEngineState.sol,
13_EngineViewModule.md,informational,Insufficient Gap Size May Be Inadequate for Future Upgrades,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineState.sol,
14_MarketEngineDispatcher.md,critical,No Timelock on Critical Admin Operations — Single-Step Module Registration and Upgrade,governance risk,Architectural trust/governance risk remains; not eliminated by code-level remediation.,MarketEngineDispatcher.sol,
14_MarketEngineDispatcher.md,high,Storage Layout Collision: Duplicate Selector Mappings in Both ERC-7201 Namespace and Linear Storage,duplicate,Overlaps with the dispatcher/module trust-boundary findings already captured elsewhere.,MarketEngineState.sol,
14_MarketEngineDispatcher.md,high,ReentrancyGuardTransient Not Applied to Fallback — Module Delegatecalls Bypass Reentrancy Protection,false positive,Current module entrypoints use `nonReentrant` and tested reentrancy paths are blocked or safely degraded.,src/engine/modules/MarketEngineUserOpsClaimsModule.sol;src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol,test/engine/security/MarketEngineReentrancy.t.sol
14_MarketEngineDispatcher.md,high,CREATE2 Redeployment Attack: Module Code Hash Check Can Be Bypassed,duplicate,Overlaps with the dispatcher/module trust-boundary findings already captured elsewhere.,MarketEngineDispatcher.sol,
14_MarketEngineDispatcher.md,high,Storage Compatibility Marker Is Insufficient — Modules Can Have Incompatible Storage Layouts,duplicate,Overlaps with the dispatcher/module trust-boundary findings already captured elsewhere.,MarketEngineDispatcher.sol,
14_MarketEngineDispatcher.md,medium,Selector Collision Risk: Root-Owned Selectors Hardcoded as Constants May Not Match Actual Function Selectors,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineDispatcher.sol,
